Year,Num.Year,Site,Initials.Site,Site.Type,Num.SiteType,Point,Point.Type,Species,Devel.Guild,Total,Round
1999,2,Cedar River Watershed,CR,Reserve,1,4,Forest,RECR,1,3,4
1999,2,Cedar River Watershed,CR,Reserve,1,5,Forest,CBCH,1,1,1
1999,2,Cedar River Watershed,CR,Reserve,1,5,Forest,HAWO,1,1,1
1999,2,Cedar River Watershed,CR,Reserve,1,5,Forest,PAWR,1,1,1
1999,2,Cedar River Watershed,CR,Reserve,1,5,Forest,PSFL,1,1,1
1999,2,Cedar River Watershed,CR,Reserve,1,5,Forest,PAWR,1,1,2
1999,2,Cedar River Watershed,CR,Reserve,1,5,Forest,RBNU,1,1,2
1999,2,Cedar River Watershed,CR,Reserve,1,5,Forest,SWTH,1,1,2
1999,2,Cedar River Watershed,CR,Reserve,1,5,Forest,CBCH,1,1,3
1999,2,Cedar River Watershed,CR,Reserve,1,5,Forest,DEJU,2,1,3
1999,2,Cedar River Watershed,CR,Reserve,1,5,Forest,PAWR,1,1,3
1999,2,Cedar River Watershed,CR,Reserve,1,5,Forest,PSFL,1,1,3
1999,2,Cedar River Watershed,CR,Reserve,1,5,Forest,RECR,1,1,3
1999,2,Cedar River Watershed,CR,Reserve,1,5,Forest,BRCR,1,1,4
1999,2,Cedar River Watershed,CR,Reserve,1,5,Forest,CBCH,1,2,4
1999,2,Cedar River Watershed,CR,Reserve,1,5,Forest,GCKI,1,1,4
1999,2,Cedar River Watershed,CR,Reserve,1,6,Forest,CBCH,1,2,1
1999,2,Cedar River Watershed,CR,Reserve,1,6,Forest,BTYW,1,1,2
1999,2,Cedar River Watershed,CR,Reserve,1,6,Forest,PSFL,1,1,2
1999,2,Cedar River Watershed,CR,Reserve,1,6,Forest,BRCR,1,1,3
1999,2,Cedar River Watershed,CR,Reserve,1,6,Forest,CBCH,1,1,3
1999,2,Cedar River Watershed,CR,Reserve,1,6,Forest,GCKI,1,1,3
1999,2,Cedar River Watershed,CR,Reserve,1,6,Forest,PAWR,1,1,3
1999,2,Cedar River Watershed,CR,Reserve,1,6,Forest,PAWR,1,2,4
1999,2,Cedar River Watershed,CR,Reserve,1,6,Forest,PSFL,1,1,4
1999,2,Cedar River Watershed,CR,Reserve,1,7,Forest,CBCH,1,2,1
1999,2,Cedar River Watershed,CR,Reserve,1,7,Forest,PAWR,1,1,1
1999,2,Cedar River Watershed,CR,Reserve,1,7,Forest,PSFL,1,1,1
1999,2,Cedar River Watershed,CR,Reserve,1,7,Forest,BRCR,1,1,2
1999,2,Cedar River Watershed,CR,Reserve,1,7,Forest,GCKI,1,1,2
1999,2,Cedar River Watershed,CR,Reserve,1,7,Forest,PAWR,1,1,2
1999,2,Cedar River Watershed,CR,Reserve,1,7,Forest,BRCR,1,1,3
1999,2,Cedar River Watershed,CR,Reserve,1,7,Forest,CBCH,1,1,3
1999,2,Cedar River Watershed,CR,Reserve,1,7,Forest,GCKI,1,2,4
1999,2,Cedar River Watershed,CR,Reserve,1,7,Forest,PAWR,1,1,4
1999,2,Cedar River Watershed,CR,Reserve,1,8,Forest,AMRO,2,1,1
1999,2,Cedar River Watershed,CR,Reserve,1,8,Forest,HAFL,1,1,1
1999,2,Cedar River Watershed,CR,Reserve,1,8,Forest,DEJU,2,1,2
1999,2,Cedar River Watershed,CR,Reserve,1,8,Forest,HAFL,1,1,2
1999,2,Cedar River Watershed,CR,Reserve,1,8,Forest,PAWR,1,1,2
1999,2,Cedar River Watershed,CR,Reserve,1,8,Forest,DEJU,2,1,3
1999,2,Cedar River Watershed,CR,Reserve,1,8,Forest,PAWR,1,2,3
1999,2,Cedar River Watershed,CR,Reserve,1,8,Forest,WETA,1,1,3
1999,2,Cedar River Watershed,CR,Reserve,1,8,Forest,AMRO,2,1,4
1999,2,Cedar River Watershed,CR,Reserve,1,8,Forest,BRCR,1,1,4
1999,2,Cedar River Watershed,CR,Reserve,1,8,Forest,PSFL,1,1,4
